longitude,latitude,point_id,distance_to_building_m,distance_to_park_m,distance_to_library_m,distance_to_parking_m,distance_to_footway_m,distance_to_grass_m,distance_to_fitness_centre_m,distance_to_wood_m,distance_to_wetland_m
-84.39266685,33.76995688,681,70.69353187,255.4815769,501.3229127,101.2608031,36.94676351,90.87928068,134.1234833,1095.858839,1309.366804
-84.39158802,33.76993407,682,16.29255803,328.476438,553.6280242,60.34294961,6.925023488,14.2951779,35.08231915,1164.227003,1351.477188
-84.3926532,33.77040737,683,66.41152424,219.3371949,457.2420492,54.83740774,36.39500966,112.9044746,136.3331661,1058.781867,1263.469725
-84.39211378,33.77039597,684,17.4198495,258.6924277,483.9007695,34.47529474,8.775070864,79.87290787,87.45091625,1093.516348,1284.476675
-84.39319262,33.77041878,685,52.17942872,185.191355,434.7190223,44.4506682,70.69938848,132.8804277,185.8111988,1025.30975,1244.11863
-84.39591701,33.76957476,686,211.038348,282.0550738,497.4967601,144.9518667,186.148121,230.3292197,438.1024106,969.4305886,1273.334056
-84.39645643,33.76958615,687,217.4515819,309.4221995,505.1086873,165.4099756,184.8802971,255.7490894,487.6165029,948.2165554,1266.039113
-84.39536395,33.77001387,688,140.9282563,214.955811,444.7880837,89.77681971,137.542804,165.3169643,383.6271202,949.3059532,1233.620087
-84.39590337,33.77002526,689,163.2002779,239.568432,447.7997498,97.6541697,136.2386476,186.4281844,433.5964703,924.9328422,1224.048176
-84.39644279,33.77003664,690,168.7489301,271.2564589,455.9937545,126.0386973,134.8829135,216.8800625,483.5721567,902.6736578,1216.457708
-84.39535031,33.77046436,691,113.7795689,170.422914,394.7885879,39.77699033,87.55981509,118.5573779,385.0220049,906.5797754,1184.792319
-84.39588974,33.77047575,692,113.2135944,200.5766749,398.1786102,55.33199847,86.25565876,146.2355384,434.831089,881.0254587,1174.822649
-84.39642916,33.77048714,693,121.1082671,237.5248101,407.0943653,97.010548,84.88552994,183.4838584,484.6794897,857.6274417,1166.912025
-84.39641553,33.77093764,694,76.53903124,210.371111,358.4987313,88.41407643,34.88814636,159.0461916,489.8503968,813.1604547,1117.406817
-84.3958761,33.77092625,695,63.22710737,167.5379701,348.6657358,38.41550689,36.27266989,114.0797856,440.4705914,837.8012624,1125.665393
-84.39157436,33.77038456,696,12.26792952,301.2220763,514.0521549,10.34297147,6.09964011,64.23812609,41.33513441,1129.396725,1307.059643
-84.39263954,33.77085787,697,66.12674528,189.5963449,414.5068399,27.55671818,35.70580442,138.3652487,152.9049552,1022.805696,1217.895753
-84.39317897,33.77086927,698,25.60405612,148.7743489,389.5205477,0,21.3211238,95.76314585,198.2901782,988.1156468,1197.808618
-84.3915607,33.77083506,699,9.779182524,280.3082378,476.4401817,0,2.96498646,114.2310009,80.63365615,1095.741489,1263.059472
-84.39210012,33.77084646,700,16.22108969,234.0079936,443.7404461,32.93514573,9.712254049,124.5424331,111.5385849,1058.721139,1239.675219
-84.39208646,33.77129696,701,28.06788408,218.1689942,405.7723651,44.7958576,11.43393114,106.1855645,149.1108617,1025.184324,1195.286144
-84.39262589,33.77130836,702,27.01710632,169.6606699,373.5793746,39.54967158,12.76323216,123.8503733,182.134891,988.0505753,1172.68256
-84.39316532,33.77131976,703,28.29485044,122.3592082,345.6470539,31.22625831,8.99759884,75.08006454,221.612698,952.0950476,1151.80719
-84.39154703,33.77128555,704,15.46722139,267.2277626,441.2945451,16.23948288,12.0810366,105.7091807,127.6517907,1049.724287,1219.521852
-84.39261223,33.77175886,705,0,163.1646771,335.1226311,82.22119326,48.3974978,86.26820274,219.0121268,954.649877,1127.873532
-84.39425782,33.77089207,706,13.76073468,97.50832125,355.7343541,0,39.86560598,59.13376782,293.5934836,922.9597022,1163.054737
-84.39479725,33.77090346,707,63.74171829,103.4161768,347.0003418,2.989954183,38.81706506,57.74080948,342.2516662,892.8021349,1148.552019
-84.39371839,33.77088067,708,4.842493719,115.4159426,369.6438744,0,33.99758161,64.77822277,245.4751804,954.7845682,1179.500277
-84.39370474,33.77133116,709,14.17835005,78.47807802,323.0823775,8.083626995,7.633316332,26.638134,264.6719807,917.4562768,1132.755588
-84.3947836,33.77135396,710,41.91981514,59.43798905,297.3480586,15.85373666,5.57683742,7.750014041,356.2715203,852.7649737,1100.493552
-84.39424417,33.77134256,711,18.77641263,48.43388933,307.0709356,14.94126252,6.70246682,9.153468551,309.8230572,884.2890139,1115.62119
-84.39476996,33.77180445,712,37.50900448,37.0249033,247.8356284,2.036582256,21.90474026,0,376.460608,813.8307862,1052.615969
-84.39423053,33.77179306,713,38.96962195,13.55767525,258.9173386,51.96638575,6.170387938,0,332.8415838,846.8054726,1068.421715
-84.39315166,33.77177026,714,0,113.1801429,303.6733684,73.32235654,40.99213451,71.93914375,252.7951366,917.3861934,1106.152848
-84.3936911,33.77178166,715,10.23844191,63.22007317,277.7190153,58.08343794,2.517704605,22.22547817,291.2807074,881.3844043,1086.300852
-84.39533667,33.77091486,716,63.78436403,129.9305142,344.7892382,0,37.57682622,75.71462136,391.2483513,864.4863748,1136.066529
-84.39640189,33.77138813,717,33.76981614,192.5979576,310.3495745,53.25597508,15.10923722,138.8874696,499.7465402,769.3731354,1067.947711
-84.39532303,33.77136535,718,13.7891592,98.58959098,294.7901092,15.2022594,4.660332551,48.60111792,403.569654,823.0729862,1087.456425
-84.39586246,33.77137674,719,13.30502327,144.5923247,299.3148594,34.62866623,13.71031898,98.20164078,451.450479,795.368874,1076.585759
-84.39638825,33.77183863,720,9.903816671,186.9008887,262.8923287,11.35380706,22.13874877,102.4119026,514.3343247,726.388407,1018.541425
-84.39584882,33.77182724,721,2.8288824,136.9120494,250.221851,0,24.78524772,70.10875841,467.5475678,753.5267939,1027.594869
-84.39530939,33.77181585,722,0,86.93604759,244.791336,23.58101139,12.71396449,48.9496045,421.4992987,782.6631388,1038.978247
-84.39583518,33.77227773,723,2.383545337,146.9111235,201.0430955,27.64752802,3.748946312,33.37224272,488.2559998,712.6816101,978.7060512
-84.39637462,33.77228912,724,22.12418093,194.3448253,215.5816576,9.127493468,2.4529719,81.772039,533.2288353,684.219349,969.1960343
-84.39529575,33.77226634,725,5.546171119,101.9600181,194.7931925,42.01920954,13.60825696,13.65061484,444.3589224,743.4204982,990.6513596
-84.39153337,33.77173604,726,0,263.1513747,409.2511506,8.179065521,14.17677942,55.72558051,176.3183849,1003.979146,1176.498138
-84.3920728,33.77174745,727,17.10944109,213.1564658,370.6707988,32.25257165,1.602209923,57.32947255,192.4246405,984.3957861,1151.35715
-84.39259858,33.77220935,728,9.991060567,171.6411395,300.0879982,85.93221633,48.74564146,66.73452716,260.3065594,919.2746168,1083.518816
-84.39205915,33.77219795,729,2.922455436,219.7126484,339.3264945,41.68220422,1.245042693,17.26159708,238.3703745,938.1301133,1107.942962
-84.39151971,33.77218654,730,0,268.4895062,381.093339,10.2736874,4.456342805,5.741980332,225.5689828,958.6590483,1134.046819
