"Plot Title:  10884524"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10884524, SEN S/N: 10884524)","RH, % (LGR S/N: 10884524, SEN S/N: 10884524)","DewPt, °F (LGR S/N: 10884524, SEN S/N: 10884524)","Coupler Detached (LGR S/N: 10884524, SEN S/N: 10884524)","Bad Battery (LGR S/N: 10884524, SEN S/N: 10884524)","Coupler Attached (LGR S/N: 10884524, SEN S/N: 10884524)","Stopped (LGR S/N: 10884524, SEN S/N: 10884524)","End Of File (LGR S/N: 10884524, SEN S/N: 10884524)"
137,02/23/19,18:40:00,66.429,59.096,52.182,,,,,
138,02/23/19,18:50:00,66.429,58.701,52.007,,,,,
139,02/23/19,19:00:00,66.344,58.571,51.868,,,,,
140,02/23/19,19:10:00,66.258,58.564,51.784,,,,,
141,02/23/19,19:20:00,66.173,58.617,51.728,,,,,
142,02/23/19,19:30:00,66.130,58.553,51.658,,,,,
143,02/23/19,19:40:00,66.043,58.606,51.602,,,,,
144,02/23/19,19:50:00,66.000,58.663,51.588,,,,,
145,02/23/19,20:00:00,65.959,58.660,51.544,,,,,
146,02/23/19,20:10:00,65.916,58.656,51.503,,,,,
147,02/23/19,20:20:00,65.872,58.804,51.528,,,,,
148,02/23/19,20:30:00,65.872,58.865,51.555,,,,,
149,02/23/19,20:40:00,65.916,59.111,51.705,,,,,
150,02/23/19,20:50:00,66.173,59.770,52.237,,,,,
151,02/23/19,21:00:00,66.385,59.608,52.367,,,,,
152,02/23/19,21:10:00,66.472,59.342,52.331,,,,,
153,02/23/19,21:20:00,66.472,59.099,52.223,,,,,
154,02/23/19,21:30:00,66.429,58.883,52.088,,,,,
155,02/23/19,21:40:00,66.344,58.724,51.937,,,,,
156,02/23/19,21:50:00,66.214,58.500,51.715,,,,,
157,02/23/19,22:00:00,66.130,58.644,51.699,,,,,
158,02/23/19,22:10:00,66.301,59.327,52.164,,,,,
159,02/23/19,22:20:00,66.472,59.221,52.277,,,,,
160,02/23/19,22:30:00,66.558,59.046,52.281,,,,,
161,02/23/19,22:40:00,66.600,58.928,52.268,,,,,
162,02/23/19,22:50:00,66.600,58.898,52.255,,,,,
163,02/23/19,23:00:00,66.600,58.898,52.255,,,,,
164,02/23/19,23:10:00,66.558,58.864,52.200,,,,,
165,02/23/19,23:20:00,66.515,58.860,52.158,,,,,
166,02/23/19,23:30:00,66.429,58.792,52.047,,,,,
167,02/23/19,23:40:00,66.344,58.784,51.964,,,,,
168,02/23/19,23:50:00,66.301,58.993,52.016,,,,,
169,02/24/19,00:00:00,66.515,59.619,52.493,,,,,
170,02/24/19,00:10:00,66.686,59.361,52.542,,,,,
171,02/24/19,00:20:00,66.729,59.061,52.448,,,,,
172,02/24/19,00:30:00,66.686,58.814,52.299,,,,,
173,02/24/19,00:40:00,66.600,58.624,52.133,,,,,
174,02/24/19,00:50:00,66.515,58.525,52.009,,,,,
175,02/24/19,01:00:00,66.429,58.427,51.885,,,,,
176,02/24/19,01:10:00,66.344,58.602,51.881,,,,,
177,02/24/19,01:20:00,66.600,59.353,52.457,,,,,
178,02/24/19,01:30:00,66.814,59.068,52.533,,,,,
179,02/24/19,01:40:00,66.900,58.680,52.441,,,,,
180,02/24/19,01:50:00,66.857,58.403,52.275,,,,,
181,02/24/19,02:00:00,66.772,58.213,52.110,,,,,
182,02/24/19,02:10:00,66.686,58.083,51.971,,,,,
183,02/24/19,02:20:00,66.600,57.985,51.845,,,,,
184,02/24/19,02:30:00,66.472,57.913,51.692,,,,,
185,02/24/19,02:40:00,66.429,58.153,51.760,,,,,
186,02/24/19,02:50:00,66.643,58.597,52.162,,,,,
187,02/24/19,03:00:00,66.772,58.395,52.192,,,,,
188,02/24/19,03:10:00,66.814,58.155,52.124,,,,,
189,02/24/19,03:20:00,66.772,57.969,52.000,,,,,
190,02/24/19,03:30:00,66.729,57.874,51.915,,,,,
191,02/24/19,03:40:00,66.643,57.805,51.805,,,,,
192,02/24/19,03:50:00,66.600,57.740,51.735,,,,,
193,02/24/19,04:00:00,66.515,57.672,51.624,,,,,
194,02/24/19,04:10:00,66.429,57.726,51.568,,,,,
195,02/24/19,04:20:00,66.558,58.346,51.969,,,,,
196,02/24/19,04:30:00,66.772,58.274,52.137,,,,,
197,02/24/19,04:40:00,66.857,57.976,52.083,,,,,
198,02/24/19,04:50:00,66.900,57.827,52.056,,,,,
199,02/24/19,05:00:00,66.857,57.701,51.958,,,,,
200,02/24/19,05:10:00,66.814,57.728,51.931,,,,,
201,02/24/19,05:20:00,67.028,58.326,52.401,,,,,
202,02/24/19,05:30:00,67.372,58.295,52.709,,,,,
203,02/24/19,05:40:00,67.543,57.974,52.725,,,,,
204,02/24/19,05:50:00,67.586,57.733,52.657,,,,,
205,02/24/19,06:00:00,67.627,57.583,52.628,,,,,
206,02/24/19,06:10:00,67.586,57.488,52.543,,,,,
207,02/24/19,06:20:00,67.714,57.897,52.851,,,,,
208,02/24/19,06:30:00,67.971,58.041,53.159,,,,,
209,02/24/19,06:40:00,68.142,57.780,53.200,,,,,
210,02/24/19,06:50:00,68.185,57.570,53.145,,,,,
211,02/24/19,07:00:00,68.142,57.443,53.046,,,,,
212,02/24/19,07:10:00,68.099,57.348,52.963,,,,,
213,02/24/19,07:20:00,68.013,57.310,52.864,,,,,
214,02/24/19,07:30:00,67.928,57.364,52.808,,,,,
215,02/24/19,07:40:00,68.099,57.899,53.215,,,,,
216,02/24/19,07:50:00,68.270,57.730,53.298,,,,,
217,02/24/19,08:00:00,68.313,57.519,53.242,,,,,
218,02/24/19,08:10:00,68.313,57.397,53.186,,,,,
219,02/24/19,08:20:00,68.270,57.332,53.116,,,,,
220,02/24/19,08:30:00,68.227,57.267,53.046,,,,,
221,02/24/19,08:40:00,68.142,57.198,52.934,,,,,
222,02/24/19,08:50:00,68.056,57.160,52.835,,,,,
223,02/24/19,09:00:00,68.013,57.218,52.822,,,,,
224,02/24/19,09:10:00,68.099,57.593,53.074,,,,,
225,02/24/19,09:20:00,68.227,57.543,53.172,,,,,
226,02/24/19,09:30:00,68.227,57.389,53.101,,,,,
227,02/24/19,09:40:00,68.227,57.297,53.060,,,,,
228,02/24/19,09:50:00,68.185,57.263,53.004,,,,,
229,02/24/19,10:00:00,68.185,57.263,53.004,,,,,
230,02/24/19,10:10:00,68.185,57.294,53.017,,,,,
231,02/24/19,10:20:00,68.227,57.359,53.087,,,,,
232,02/24/19,10:30:00,68.400,57.465,53.298,,,,,
233,02/24/19,10:40:00,68.527,57.323,53.352,,,,,
234,02/24/19,10:50:00,68.657,57.180,53.407,,,,,
235,02/24/19,11:00:00,68.698,57.030,53.379,,,,,
236,02/24/19,11:10:00,68.698,56.908,53.321,,,,,
237,02/24/19,11:20:00,68.657,56.812,53.236,,,,,
238,02/24/19,11:30:00,68.657,56.658,53.164,,,,,
239,02/24/19,11:40:00,68.614,56.409,53.008,,,,,
240,02/24/19,11:50:00,68.527,56.309,52.880,,,,,
241,02/24/19,12:00:00,68.443,56.364,52.826,,,,,
242,02/24/19,12:10:00,68.443,56.610,52.941,,,,,
243,02/24/19,12:20:00,68.527,57.169,53.281,,,,,
244,02/24/19,12:30:00,68.657,57.487,53.548,,,,,
245,02/24/19,12:40:00,68.742,57.770,53.758,,,,,
246,02/24/19,12:50:00,68.785,57.927,53.870,,,,,
247,02/24/19,13:00:00,68.828,58.053,53.969,,,,,
248,02/24/19,13:10:00,68.828,58.114,53.996,,,,,
249,02/24/19,13:20:00,68.828,57.992,53.940,,,,,
250,02/24/19,13:30:00,68.828,57.869,53.884,,,,,
251,02/24/19,13:40:00,68.785,57.712,53.773,,,,,
252,02/24/19,13:50:00,68.742,57.586,53.674,,,,,
253,02/24/19,14:00:00,68.742,57.464,53.618,,,,,
254,02/24/19,14:10:00,68.698,57.368,53.533,,,,,
255,02/24/19,14:20:00,68.657,57.242,53.436,,,,,
256,02/24/19,14:30:00,68.614,57.115,53.337,,,,,
257,02/24/19,14:40:00,68.571,56.958,53.224,,,,,
258,02/24/19,14:50:00,68.527,56.832,53.125,,,,,
259,02/24/19,15:00:00,68.484,56.705,53.026,,,,,
260,02/24/19,15:10:00,68.443,56.640,52.956,,,,,
261,02/24/19,15:20:00,68.400,56.545,52.871,,,,,
262,02/24/19,15:30:00,68.356,56.418,52.772,,,,,
263,02/24/19,15:40:00,68.313,56.322,52.686,,,,,
264,02/24/19,15:50:00,68.313,56.261,52.657,,,,,
265,02/24/19,16:00:00,68.270,56.196,52.587,,,,,
266,02/24/19,16:10:00,68.227,56.069,52.488,,,,,
267,02/24/19,16:20:00,68.142,55.908,52.331,,,,,
268,02/24/19,16:30:00,68.099,55.750,52.218,,,,,
269,02/24/19,16:40:00,68.056,55.624,52.117,,,,,
270,02/24/19,16:50:00,67.971,55.493,51.975,,,,,
271,02/24/19,17:00:00,67.928,55.428,51.904,,,,,
272,02/24/19,17:10:00,67.885,55.425,51.863,,,,,
273,02/24/19,17:20:00,67.885,55.425,51.863,,,,,
274,02/24/19,17:30:00,67.885,55.363,51.832,,,,,
275,02/24/19,17:40:00,67.798,55.294,51.721,,,,,
276,02/24/19,17:50:00,67.714,55.226,51.607,,,,,
277,02/24/19,18:00:00,67.671,55.253,51.580,,,,,
278,02/24/19,18:10:00,67.627,55.250,51.539,,,,,
279,02/24/19,18:20:00,67.586,55.277,51.512,,,,,
280,02/24/19,18:30:00,67.500,55.270,51.429,,,,,
281,02/24/19,18:40:00,67.413,55.232,51.330,,,,,
282,02/24/19,18:50:00,67.329,55.225,51.247,,,,,
283,02/24/19,19:00:00,67.242,55.218,51.165,,,,,
284,02/24/19,19:10:00,67.158,55.180,51.066,,,,,
285,02/24/19,19:20:00,67.028,55.170,50.941,,,,,
286,02/24/19,19:30:00,66.943,55.132,50.844,,,,,
287,02/24/19,19:40:00,66.857,55.125,50.760,,,,,
288,02/24/19,19:50:00,66.772,55.118,50.677,,,,,
289,02/24/19,20:00:00,66.686,55.111,50.594,,,,,
290,02/24/19,20:10:00,66.558,55.070,50.454,,,,,
291,02/24/19,20:20:00,66.472,55.063,50.371,,,,,
292,02/24/19,20:30:00,66.344,55.053,50.247,,,,,
293,02/24/19,20:40:00,66.258,55.046,50.164,,,,,
294,02/24/19,20:50:00,66.173,55.069,50.095,,,,,
295,02/24/19,21:00:00,66.087,55.062,50.011,,,,,
296,02/24/19,21:10:00,66.000,54.994,49.899,,,,,
297,02/24/19,21:20:00,65.916,54.956,49.800,,,,,
298,02/24/19,21:30:00,65.788,54.946,49.676,,,,,
299,02/24/19,21:40:00,65.701,54.877,49.564,,,,,
300,02/24/19,21:50:00,65.574,54.836,49.424,,,,,
301,02/24/19,22:00:00,65.487,54.798,49.327,,,,,
302,02/24/19,22:10:00,65.359,54.757,49.188,,,,,
303,02/24/19,22:20:00,65.273,54.720,49.089,,,,,
304,02/24/19,22:30:00,65.145,54.648,48.936,,,,,
305,02/24/19,22:40:00,65.059,54.641,48.852,,,,,
306,02/24/19,22:50:00,64.974,54.603,48.754,,,,,
307,02/24/19,23:00:00,64.845,54.562,48.616,,,,,
308,02/24/19,23:10:00,64.760,54.524,48.517,,,,,
309,02/24/19,23:20:00,64.632,54.452,48.364,,,,,
310,02/24/19,23:30:00,64.546,54.415,48.267,,,,,
311,02/24/19,23:40:00,64.459,54.408,48.182,,,,,
312,02/24/19,23:50:00,64.375,54.401,48.099,,,,,
313,02/25/19,00:00:00,64.459,54.991,48.459,,,,,
314,02/25/19,00:10:00,65.017,55.865,49.390,,,,,
315,02/25/19,00:20:00,65.745,55.281,49.795,,,,,
316,02/25/19,00:30:00,66.043,53.733,49.332,,,,,
317,02/25/19,00:40:00,66.043,52.960,48.954,,,,,
318,02/25/19,00:50:00,65.959,52.674,48.733,,,,,
319,02/25/19,01:00:00,65.829,52.602,48.578,,,,,
320,02/25/19,01:10:00,65.658,52.526,48.382,,,,,
321,02/25/19,01:20:00,65.872,53.441,49.032,,,,,
322,02/25/19,01:30:00,66.214,52.849,49.059,,,,,
323,02/25/19,01:40:00,66.301,52.111,48.769,,,,,
324,02/25/19,01:50:00,66.173,51.852,48.520,,,,,
325,02/25/19,02:00:00,66.043,51.842,48.396,,,,,
326,02/25/19,02:10:00,65.872,51.860,48.247,,,,,
327,02/25/19,02:20:00,65.872,52.481,48.558,,,,,
328,02/25/19,02:30:00,66.385,53.327,49.453,,,,,
329,02/25/19,02:40:00,66.643,52.106,49.084,,,,,
330,02/25/19,02:50:00,66.643,51.483,48.769,,,,,
331,02/25/19,03:00:00,66.472,51.345,48.540,,,,,
332,02/25/19,03:10:00,66.258,51.329,48.335,,,,,
333,02/25/19,03:20:00,66.043,51.313,48.128,,,,,
334,02/25/19,03:30:00,66.087,52.218,48.625,,,,,
