"Plot Title:  10635577"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10635577, SEN S/N: 10635577, LBL:  10635577_T)","RH, % (LGR S/N: 10635577, SEN S/N: 10635577, LBL:  10635577_RH)","DewPt, °F (LGR S/N: 10635577, SEN S/N: 10635577)","Bad Battery (LGR S/N: 10635577, SEN S/N: 10635577)","Coupler Detached (LGR S/N: 10635577, SEN S/N: 10635577)","Good Battery (LGR S/N: 10635577, SEN S/N: 10635577)","Coupler Attached (LGR S/N: 10635577, SEN S/N: 10635577)","Stopped (LGR S/N: 10635577, SEN S/N: 10635577)","End Of File (LGR S/N: 10635577, SEN S/N: 10635577)"
156,02/26/19,21:50:00,60.303,61.018,47.228,,,,,,
157,02/26/19,22:00:00,60.390,60.668,47.161,,,,,,
158,02/26/19,22:10:00,60.818,60.138,47.343,,,,,,
159,02/26/19,22:20:00,60.517,60.948,47.401,,,,,,
160,02/26/19,22:30:00,60.390,61.622,47.559,,,,,,
161,02/26/19,22:40:00,60.604,61.165,47.574,,,,,,
162,02/26/19,22:50:00,60.474,61.600,47.631,,,,,,
163,02/26/19,23:00:00,60.303,61.971,47.622,,,,,,
164,02/26/19,23:10:00,60.346,62.094,47.712,,,,,,
165,02/26/19,23:20:00,60.561,62.143,47.937,,,,,,
166,02/26/19,23:30:00,60.604,62.326,48.052,,,,,,
167,02/26/19,23:40:00,60.260,63.242,48.097,,,,,,
168,02/26/19,23:50:00,60.260,63.538,48.216,,,,,,
169,02/27/19,00:00:00,60.303,64.398,48.600,,,,,,
170,02/27/19,00:10:00,59.830,65.704,48.659,,,,,,
171,02/27/19,00:20:00,59.659,66.973,48.978,,,,,,
172,02/27/19,00:30:00,59.315,68.304,49.147,,,,,,
173,02/27/19,00:40:00,58.885,68.955,48.972,,,,,,
174,02/27/19,00:50:00,58.798,69.523,49.096,,,,,,
175,02/27/19,01:00:00,58.669,70.602,49.359,,,,,,
176,02/27/19,01:10:00,58.282,71.534,49.316,,,,,,
177,02/27/19,01:20:00,58.541,71.819,49.665,,,,,,
178,02/27/19,01:30:00,58.669,71.919,49.824,,,,,,
179,02/27/19,01:40:00,58.798,73.214,50.396,,,,,,
180,02/27/19,01:50:00,58.798,73.470,50.484,,,,,,
181,02/27/19,02:00:00,58.626,74.301,50.599,,,,,,
182,02/27/19,02:10:00,58.541,74.687,50.644,,,,,,
183,02/27/19,02:20:00,58.755,75.697,51.190,,,,,,
184,02/27/19,02:30:00,58.712,75.889,51.211,,,,,,
185,02/27/19,02:40:00,58.669,76.278,51.298,,,,,,
186,02/27/19,02:50:00,59.014,76.766,51.793,,,,,,
187,02/27/19,03:00:00,58.626,76.609,51.364,,,,,,
188,02/27/19,03:10:00,58.195,77.482,51.228,,,,,,
189,02/27/19,03:20:00,58.498,78.269,51.773,,,,,,
190,02/27/19,03:30:00,58.411,78.676,51.818,,,,,,
191,02/27/19,03:40:00,58.455,79.153,52.011,,,,,,
192,02/27/19,03:50:00,58.195,79.399,51.834,,,,,,
193,02/27/19,04:00:00,58.282,79.824,52.052,,,,,,
194,02/27/19,04:10:00,58.282,80.624,52.299,,,,,,
195,02/27/19,04:20:00,58.282,80.871,52.374,,,,,,
196,02/27/19,04:30:00,58.195,81.493,52.480,,,,,,
197,02/27/19,04:40:00,58.368,81.624,52.689,,,,,,
198,02/27/19,04:50:00,58.152,81.350,52.394,,,,,,
199,02/27/19,05:00:00,57.850,81.697,52.203,,,,,,
200,02/27/19,05:10:00,57.765,82.479,52.354,,,,,,
201,02/27/19,05:20:00,57.936,83.046,52.693,,,,,,
202,02/27/19,05:30:00,58.023,83.057,52.781,,,,,,
203,02/27/19,05:40:00,58.498,83.280,53.312,,,,,,
204,02/27/19,05:50:00,58.066,83.307,52.898,,,,,,
205,02/27/19,06:00:00,57.979,84.084,53.042,,,,,,
206,02/27/19,06:10:00,58.023,84.469,53.197,,,,,,
207,02/27/19,06:20:00,57.893,84.804,53.166,,,,,,
208,02/27/19,06:30:00,57.679,85.100,53.040,,,,,,
209,02/27/19,06:40:00,57.679,85.343,53.109,,,,,,
210,02/27/19,06:50:00,57.936,85.187,53.319,,,,,,
211,02/27/19,07:00:00,57.893,85.290,53.307,,,,,,
212,02/27/19,07:10:00,58.023,85.495,53.494,,,,,,
213,02/27/19,07:20:00,58.239,85.469,53.699,,,,,,
214,02/27/19,07:30:00,58.109,85.695,53.636,,,,,,
215,02/27/19,07:40:00,57.893,86.124,53.546,,,,,,
216,02/27/19,07:50:00,57.549,87.231,53.517,,,,,,
217,02/27/19,08:00:00,57.420,88.173,53.652,,,,,,
218,02/27/19,08:10:00,57.592,88.966,54.041,,,,,,
219,02/27/19,08:20:00,57.850,89.266,54.379,,,,,,
220,02/27/19,08:30:00,58.023,89.290,54.556,,,,,,
221,02/27/19,08:40:00,58.239,89.213,54.748,,,,,,
222,02/27/19,08:50:00,57.765,89.414,54.334,,,,,,
223,02/27/19,09:00:00,57.160,90.386,53.998,,,,,,
224,02/27/19,09:10:00,57.290,91.297,54.369,,,,,,
225,02/27/19,09:20:00,57.807,91.998,55.069,,,,,,
226,02/27/19,09:30:00,58.455,92.534,55.854,,,,,,
227,02/27/19,09:40:00,58.928,92.705,56.370,,,,,,
228,02/27/19,09:50:00,59.659,92.835,57.132,,,,,,
229,02/27/19,10:00:00,60.003,92.700,57.439,,,,,,
230,02/27/19,10:10:00,59.959,92.720,57.402,,,,,,
231,02/27/19,10:20:00,60.089,92.450,57.459,,,,,,
232,02/27/19,10:30:00,60.217,92.179,57.515,,,,,,
233,02/27/19,10:40:00,60.604,92.075,57.871,,,,,,
234,02/27/19,10:50:00,61.162,91.097,58.163,,,,,,
235,02/27/19,11:00:00,61.290,90.532,58.138,,,,,,
236,02/27/19,11:10:00,61.290,90.133,58.028,,,,,,
237,02/27/19,11:20:00,61.248,89.462,57.801,,,,,,
238,02/27/19,11:30:00,60.904,89.628,57.506,,,,,,
239,02/27/19,11:40:00,60.861,89.569,57.448,,,,,,
240,02/27/19,11:50:00,61.119,89.524,57.690,,,,,,
241,02/27/19,12:00:00,61.376,88.971,57.792,,,,,,
242,02/27/19,12:10:00,61.506,88.641,57.826,,,,,,
243,02/27/19,12:20:00,61.248,88.446,57.517,,,,,,
244,02/27/19,12:30:00,61.376,88.436,57.643,,,,,,
245,02/27/19,12:40:00,61.848,88.070,58.006,,,,,,
246,02/27/19,12:50:00,62.533,86.270,58.167,,,,,,
247,02/27/19,13:00:00,63.048,85.002,58.302,,,,,,
248,02/27/19,13:10:00,63.604,82.932,58.226,,,,,,
249,02/27/19,13:20:00,64.888,80.591,58.755,,,,,,
250,02/27/19,13:30:00,64.459,80.092,58.177,,,,,,
251,02/27/19,13:40:00,65.487,75.979,57.823,,,,,,
252,02/27/19,13:50:00,65.059,75.047,57.090,,,,,,
253,02/27/19,14:00:00,66.173,72.612,57.313,,,,,,
254,02/27/19,14:10:00,66.857,72.974,58.104,,,,,,
255,02/27/19,14:20:00,66.686,70.751,57.133,,,,,,
256,02/27/19,14:30:00,67.757,70.191,57.954,,,,,,
257,02/27/19,14:40:00,67.114,69.335,57.016,,,,,,
258,02/27/19,14:50:00,66.385,70.079,56.595,,,,,,
259,02/27/19,15:00:00,66.301,69.398,56.259,,,,,,
260,02/27/19,15:10:00,68.443,66.577,57.222,,,,,,
261,02/27/19,15:20:00,67.199,68.727,56.869,,,,,,
262,02/27/19,15:30:00,66.429,69.235,56.322,,,,,,
263,02/27/19,15:40:00,66.258,69.861,56.392,,,,,,
264,02/27/19,15:50:00,66.429,68.972,56.221,,,,,,
265,02/27/19,16:00:00,67.928,68.772,57.583,,,,,,
266,02/27/19,16:10:00,67.199,68.404,56.745,,,,,,
267,02/27/19,16:20:00,66.472,70.321,56.768,,,,,,
268,02/27/19,16:30:00,66.301,69.573,56.325,,,,,,
269,02/27/19,16:40:00,66.214,69.740,56.305,,,,,,
270,02/27/19,16:50:00,66.857,68.722,56.538,,,,,,
271,02/27/19,17:00:00,67.158,68.723,56.826,,,,,,
272,02/27/19,17:10:00,67.372,66.709,56.251,,,,,,
273,02/27/19,17:20:00,66.686,66.849,55.652,,,,,,
274,02/27/19,17:30:00,65.959,68.748,55.684,,,,,,
275,02/27/19,17:40:00,65.574,70.286,55.890,,,,,,
276,02/27/19,17:50:00,65.487,71.091,56.104,,,,,,
277,02/27/19,18:00:00,65.959,71.198,56.595,,,,,,
278,02/27/19,18:10:00,65.102,71.456,55.864,,,,,,
279,02/27/19,18:20:00,64.033,72.986,55.378,,,,,,
280,02/27/19,18:30:00,63.090,74.457,54.979,,,,,,
281,02/27/19,18:40:00,62.748,75.158,54.885,,,,,,
282,02/27/19,18:50:00,61.506,77.109,54.329,,,,,,
283,02/27/19,19:00:00,61.290,78.542,54.585,,,,,,
284,02/27/19,19:10:00,61.506,79.433,55.078,,,,,,
285,02/27/19,19:20:00,60.733,79.980,54.496,,,,,,
286,02/27/19,19:30:00,59.445,80.710,53.463,,,,,,
287,02/27/19,19:40:00,58.541,82.603,53.154,,,,,,
288,02/27/19,19:50:00,60.303,83.124,55.042,,,,,,
289,02/27/19,20:00:00,60.217,82.922,54.896,,,,,,
290,02/27/19,20:10:00,58.712,83.361,53.548,,,,,,
291,02/27/19,20:20:00,57.031,84.828,52.322,,,,,,
292,02/27/19,20:30:00,56.858,86.471,52.621,,,,,,
293,02/27/19,20:40:00,57.765,87.766,53.881,,,,,,
294,02/27/19,20:50:00,58.712,87.090,54.628,,,,,,
295,02/27/19,21:00:00,57.979,87.208,53.937,,,,,,
296,02/27/19,21:10:00,57.204,87.692,53.305,,,,,,
297,02/27/19,21:20:00,56.944,89.090,53.433,,,,,,
298,02/27/19,21:30:00,56.944,89.513,53.548,,,,,,
299,02/27/19,21:40:00,55.776,89.775,52.459,,,,,,
300,02/27/19,21:50:00,55.819,90.726,52.756,,,,,,
301,02/27/19,22:00:00,56.295,91.315,53.384,,,,,,
302,02/27/19,22:10:00,57.636,91.503,54.766,,,,,,
303,02/27/19,22:20:00,57.893,91.040,54.901,,,,,,
304,02/27/19,22:30:00,57.117,90.906,54.093,,,,,,
305,02/27/19,22:40:00,56.988,90.678,53.904,,,,,,
306,02/27/19,22:50:00,57.117,91.063,54.135,,,,,,
307,02/27/19,23:00:00,56.728,90.852,53.692,,,,,,
308,02/27/19,23:10:00,56.383,91.328,53.474,,,,,,
309,02/27/19,23:20:00,57.247,92.024,54.518,,,,,,
310,02/27/19,23:30:00,56.512,91.999,53.780,,,,,,
311,02/27/19,23:40:00,56.685,92.310,54.032,,,,,,
312,02/27/19,23:50:00,57.074,92.521,54.475,,,,,,
313,02/28/19,00:00:00,56.815,92.406,54.187,,,,,,
314,02/28/19,00:10:00,57.204,92.748,54.664,,,,,,
315,02/28/19,00:20:00,56.642,92.668,54.082,,,,,,
316,02/28/19,00:30:00,57.160,92.820,54.639,,,,,,
317,02/28/19,00:40:00,56.340,93.040,53.877,,,,,,
318,02/28/19,00:50:00,57.074,93.457,54.718,,,,,,
319,02/28/19,01:00:00,56.642,93.343,54.257,,,,,,
320,02/28/19,01:10:00,56.469,93.681,54.171,,,,,,
321,02/28/19,01:20:00,56.295,94.043,54.091,,,,,,
322,02/28/19,01:30:00,56.642,94.248,54.489,,,,,,
323,02/28/19,01:40:00,56.165,94.360,54.041,,,,,,
324,02/28/19,01:50:00,56.642,94.429,54.534,,,,,,
325,02/28/19,02:00:00,57.160,94.607,55.098,,,,,,
326,02/28/19,02:10:00,57.160,94.555,55.085,,,,,,
327,02/28/19,02:20:00,57.333,94.709,55.296,,,,,,
328,02/28/19,02:30:00,57.160,94.710,55.123,,,,,,
329,02/28/19,02:40:00,57.160,94.813,55.150,,,,,,
330,02/28/19,02:50:00,56.642,94.789,54.626,,,,,,
331,02/28/19,03:00:00,56.772,94.860,54.774,,,,,,
332,02/28/19,03:10:00,56.944,95.091,55.004,,,,,,
333,02/28/19,03:20:00,56.901,95.136,54.972,,,,,,
334,02/28/19,03:30:00,56.858,95.232,54.954,,,,,,
335,02/28/19,03:40:00,56.944,95.296,55.056,,,,,,
336,02/28/19,03:50:00,57.074,95.418,55.216,,,,,,
337,02/28/19,04:00:00,56.815,95.483,54.973,,,,,,
338,02/28/19,04:10:00,56.512,95.490,54.671,,,,,,
339,02/28/19,04:20:00,56.469,95.637,54.666,,,,,,
340,02/28/19,04:30:00,56.988,95.662,55.189,,,,,,
341,02/28/19,04:40:00,57.031,95.720,55.247,,,,,,
342,02/28/19,04:50:00,57.204,95.694,55.414,,,,,,
343,02/28/19,05:00:00,57.160,95.739,55.382,,,,,,
344,02/28/19,05:10:00,57.333,95.739,55.555,,,,,,
345,02/28/19,05:20:00,57.376,95.822,55.620,,,,,,
346,02/28/19,05:30:00,57.463,95.783,55.695,,,,,,
347,02/28/19,05:40:00,57.463,95.783,55.695,,,,,,
348,02/28/19,05:50:00,57.333,95.764,55.562,,,,,,
349,02/28/19,06:00:00,57.160,95.765,55.389,,,,,,
350,02/28/19,06:10:00,57.204,95.720,55.420,,,,,,
351,02/28/19,06:20:00,57.376,95.925,55.645,,,,,,
352,02/28/19,06:30:00,57.420,95.931,55.690,,,,,,
353,02/28/19,06:40:00,57.074,95.931,55.344,,,,,,
354,02/28/19,06:50:00,56.815,96.047,55.114,,,,,,
