"Plot Title:  10884513"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10884513, SEN S/N: 10884513)","RH, % (LGR S/N: 10884513, SEN S/N: 10884513)","DewPt, °F (LGR S/N: 10884513, SEN S/N: 10884513)","Coupler Detached (LGR S/N: 10884513, SEN S/N: 10884513)","Coupler Attached (LGR S/N: 10884513, SEN S/N: 10884513)","End Of File (LGR S/N: 10884513, SEN S/N: 10884513)"
144,05/03/17,21:15:00,69.557,54.664,53.056,,,
145,05/03/17,21:20:00,69.600,54.822,53.173,,,
146,05/03/17,21:25:00,69.600,54.450,52.992,,,
147,05/03/17,21:30:00,69.600,54.295,52.916,,,
148,05/03/17,21:35:00,69.600,55.287,53.397,,,
149,05/03/17,21:40:00,69.514,55.094,53.224,,,
150,05/03/17,21:45:00,69.427,54.623,52.916,,,
151,05/03/17,21:50:00,69.386,55.393,53.247,,,
152,05/03/17,21:55:00,69.343,54.709,52.878,,,
153,05/03/17,22:00:00,69.300,54.457,52.716,,,
154,05/03/17,22:05:00,69.300,55.540,53.238,,,
155,05/03/17,22:10:00,69.300,55.139,53.046,,,
156,05/03/17,22:15:00,69.386,55.115,53.114,,,
157,05/03/17,22:20:00,69.343,55.637,53.325,,,
158,05/03/17,22:25:00,69.343,56.038,53.515,,,
159,05/03/17,22:30:00,69.300,55.972,53.443,,,
160,05/03/17,22:35:00,69.343,56.223,53.602,,,
161,05/03/17,22:40:00,69.256,56.708,53.749,,,
162,05/03/17,22:45:00,69.256,56.061,53.445,,,
163,05/03/17,22:50:00,69.300,55.324,53.136,,,
164,05/03/17,22:55:00,69.343,55.853,53.427,,,
165,05/03/17,23:00:00,69.343,55.945,53.470,,,
166,05/03/17,23:05:00,69.427,54.870,53.037,,,
167,05/03/17,23:10:00,69.514,54.630,52.999,,,
168,05/03/17,23:15:00,69.427,54.685,52.947,,,
169,05/03/17,23:20:00,69.427,54.592,52.902,,,
170,05/03/17,23:25:00,69.343,54.430,52.743,,,
171,05/03/17,23:30:00,69.300,54.364,52.671,,,
172,05/03/17,23:35:00,69.427,52.726,51.978,,,
173,05/03/17,23:40:00,69.471,53.633,52.471,,,
174,05/03/17,23:45:00,69.343,53.685,52.378,,,
175,05/03/17,23:50:00,69.300,52.654,51.823,,,
176,05/03/17,23:55:00,69.386,52.067,51.606,,,
177,05/04/17,00:00:00,69.728,51.405,51.584,,,
178,05/04/17,00:05:00,70.158,50.212,51.357,,,
179,05/04/17,00:10:00,70.846,48.937,51.305,,,
180,05/04/17,00:15:00,71.103,48.544,51.327,,,
181,05/04/17,00:20:00,70.759,49.026,51.274,,,
182,05/04/17,00:25:00,70.759,49.089,51.309,,,
183,05/04/17,00:30:00,70.846,48.272,50.940,,,
184,05/04/17,00:35:00,70.803,48.332,50.934,,,
185,05/04/17,00:40:00,70.716,48.294,50.833,,,
186,05/04/17,00:45:00,70.459,48.751,50.848,,,
187,05/04/17,00:50:00,70.286,49.371,51.026,,,
188,05/04/17,00:55:00,70.158,49.267,50.851,,,
189,05/04/17,01:00:00,70.243,48.799,50.677,,,
190,05/04/17,01:05:00,70.158,49.235,50.833,,,
191,05/04/17,01:10:00,70.286,48.454,50.527,,,
192,05/04/17,01:15:00,70.115,49.011,50.673,,,
193,05/04/17,01:20:00,70.029,48.910,50.540,,,
194,05/04/17,01:25:00,69.858,49.150,50.511,,,
195,05/04/17,01:30:00,69.771,49.743,50.751,,,
196,05/04/17,01:35:00,69.643,49.828,50.679,,,
197,05/04/17,01:40:00,69.643,49.765,50.644,,,
198,05/04/17,01:45:00,69.600,49.163,50.283,,,
199,05/04/17,01:50:00,69.858,48.550,50.185,,,
200,05/04/17,01:55:00,69.858,48.423,50.117,,,
201,05/04/17,02:00:00,69.728,48.319,49.941,,,
202,05/04/17,02:05:00,69.557,48.686,49.984,,,
203,05/04/17,02:10:00,69.514,48.683,49.942,,,
204,05/04/17,02:15:00,69.427,49.214,50.151,,,
205,05/04/17,02:20:00,69.300,49.267,50.061,,,
206,05/04/17,02:25:00,69.170,49.479,50.056,,,
207,05/04/17,02:30:00,69.042,50.130,50.284,,,
208,05/04/17,02:35:00,68.742,51.362,50.650,,,
209,05/04/17,02:40:00,68.484,52.061,50.769,,,
210,05/04/17,02:45:00,68.142,53.559,51.199,,,
211,05/04/17,02:50:00,67.757,54.643,51.368,,,
212,05/04/17,02:55:00,67.586,54.845,51.305,,,
213,05/04/17,03:00:00,67.627,54.292,51.078,,,
214,05/04/17,03:05:00,67.671,54.110,51.030,,,
215,05/04/17,03:10:00,67.757,53.838,50.977,,,
216,05/04/17,03:15:00,67.627,54.169,51.019,,,
217,05/04/17,03:20:00,67.500,54.498,51.058,,,
218,05/04/17,03:25:00,67.242,55.557,51.325,,,
219,05/04/17,03:30:00,66.772,56.960,51.539,,,
220,05/04/17,03:35:00,66.515,58.099,51.816,,,
221,05/04/17,03:40:00,65.188,64.778,53.402,,,
222,05/04/17,03:45:00,64.288,67.612,53.654,,,
223,05/04/17,03:50:00,63.819,69.405,53.877,,,
224,05/04/17,03:55:00,63.604,70.834,54.196,,,
225,05/04/17,04:00:00,63.433,72.029,54.460,,,
226,05/04/17,04:05:00,63.347,73.513,54.901,,,
227,05/04/17,04:10:00,63.262,74.903,55.297,,,
228,05/04/17,04:15:00,63.005,76.180,55.479,,,
229,05/04/17,04:20:00,64.288,71.572,55.123,,,
230,05/04/17,04:25:00,64.974,67.622,54.313,,,
231,05/04/17,04:30:00,65.017,66.094,53.760,,,
232,05/04/17,04:35:00,64.931,65.583,53.478,,,
233,05/04/17,04:40:00,64.760,66.039,53.494,,,
234,05/04/17,04:45:00,64.546,67.226,53.751,,,
235,05/04/17,04:50:00,64.117,68.707,53.904,,,
236,05/04/17,04:55:00,63.475,71.110,54.172,,,
237,05/04/17,05:00:00,63.090,72.797,54.401,,,
238,05/04/17,05:05:00,62.704,74.300,54.550,,,
239,05/04/17,05:10:00,62.276,76.380,54.838,,,
240,05/04/17,05:15:00,61.891,77.772,54.921,,,
241,05/04/17,05:20:00,61.547,78.740,54.900,,,
242,05/04/17,05:25:00,61.075,80.132,54.880,,,
243,05/04/17,05:30:00,61.032,80.709,55.018,,,
244,05/04/17,05:35:00,60.904,81.661,55.186,,,
245,05/04/17,05:40:00,60.775,82.882,55.432,,,
246,05/04/17,05:45:00,60.690,83.145,55.427,,,
247,05/04/17,05:50:00,60.517,83.561,55.384,,,
248,05/04/17,05:55:00,60.346,84.412,55.467,,,
249,05/04/17,06:00:00,60.217,85.075,55.535,,,
250,05/04/17,06:05:00,60.217,85.725,55.724,,,
251,05/04/17,06:10:00,60.089,85.709,55.591,,,
252,05/04/17,06:15:00,60.046,86.297,55.719,,,
253,05/04/17,06:20:00,59.873,86.787,55.690,,,
254,05/04/17,06:25:00,59.873,87.163,55.796,,,
255,05/04/17,06:30:00,59.873,87.512,55.895,,,
256,05/04/17,06:35:00,60.003,87.958,56.149,,,
257,05/04/17,06:40:00,60.046,88.338,56.298,,,
258,05/04/17,06:45:00,60.046,88.606,56.372,,,
259,05/04/17,06:50:00,60.089,88.932,56.505,,,
260,05/04/17,06:55:00,60.003,89.186,56.491,,,
261,05/04/17,07:00:00,59.873,89.541,56.460,,,
262,05/04/17,07:05:00,59.830,89.881,56.511,,,
263,05/04/17,07:10:00,59.745,90.134,56.494,,,
264,05/04/17,07:15:00,59.873,90.602,56.750,,,
265,05/04/17,07:20:00,60.003,91.201,57.040,,,
266,05/04/17,07:25:00,59.959,91.538,57.087,,,
267,05/04/17,07:30:00,59.830,91.862,57.045,,,
268,05/04/17,07:35:00,59.916,92.137,57.204,,,
269,05/04/17,07:40:00,59.916,92.347,57.259,,,
270,05/04/17,07:45:00,59.959,92.537,57.353,,,
271,05/04/17,07:50:00,59.959,92.668,57.387,,,
272,05/04/17,07:55:00,59.745,92.690,57.180,,,
273,05/04/17,08:00:00,59.830,92.911,57.324,,,
274,05/04/17,08:05:00,59.873,92.996,57.389,,,
275,05/04/17,08:10:00,59.830,93.173,57.393,,,
276,05/04/17,08:15:00,59.745,93.265,57.331,,,
277,05/04/17,08:20:00,59.745,93.344,57.351,,,
278,05/04/17,08:25:00,59.702,93.442,57.333,,,
279,05/04/17,08:30:00,59.830,93.565,57.495,,,
280,05/04/17,08:35:00,59.873,93.753,57.587,,,
281,05/04/17,08:40:00,59.916,93.916,57.672,,,
282,05/04/17,08:45:00,59.830,93.903,57.583,,,
283,05/04/17,08:50:00,59.702,94.041,57.490,,,
284,05/04/17,08:55:00,59.873,94.170,57.695,,,
285,05/04/17,09:00:00,60.003,94.188,57.828,,,
286,05/04/17,09:05:00,60.046,94.299,57.898,,,
287,05/04/17,09:10:00,60.003,94.449,57.895,,,
288,05/04/17,09:15:00,60.089,94.565,58.010,,,
289,05/04/17,09:20:00,60.089,94.591,58.017,,,
290,05/04/17,09:25:00,60.132,94.727,58.095,,,
291,05/04/17,09:30:00,60.089,94.773,58.064,,,
292,05/04/17,09:35:00,60.003,94.812,57.988,,,
293,05/04/17,09:40:00,60.003,94.838,57.996,,,
294,05/04/17,09:45:00,59.873,94.845,57.868,,,
295,05/04/17,09:50:00,59.830,94.943,57.850,,,
296,05/04/17,09:55:00,59.745,94.930,57.762,,,
297,05/04/17,10:00:00,59.745,95.086,57.801,,,
298,05/04/17,10:05:00,59.616,95.119,57.681,,,
299,05/04/17,10:10:00,59.572,95.113,57.636,,,
300,05/04/17,10:15:00,59.486,95.255,57.587,,,
301,05/04/17,10:20:00,59.358,95.366,57.486,,,
302,05/04/17,10:25:00,59.315,95.463,57.466,,,
303,05/04/17,10:30:00,59.185,95.573,57.366,,,
304,05/04/17,10:35:00,58.971,95.722,57.189,,,
305,05/04/17,10:40:00,58.798,95.954,57.076,,,
306,05/04/17,10:45:00,58.712,96.250,57.063,,,
307,05/04/17,10:50:00,58.885,96.353,57.261,,,
308,05/04/17,10:55:00,59.099,96.487,57.510,,,
309,05/04/17,11:00:00,59.229,96.506,57.645,,,
310,05/04/17,11:05:00,59.315,96.467,57.720,,,
311,05/04/17,11:10:00,59.873,96.473,58.282,,,
312,05/04/17,11:15:00,59.959,96.331,58.332,,,
313,05/04/17,11:20:00,60.303,96.279,58.662,,,
314,05/04/17,11:25:00,60.346,96.156,58.674,,,
315,05/04/17,11:30:00,60.690,96.155,59.018,,,
